time,lat,lon,analysed_sst,crs
2025-10-26 12:00:00,35.225,-75.875,18.87,-32767
2025-10-26 12:00:00,35.225,-75.825,18.96,-32767
2025-10-26 12:00:00,35.225,-75.775,19.1,-32767
2025-10-26 12:00:00,35.225,-75.725,19.240000000000002,-32767
2025-10-26 12:00:00,35.225,-75.675,19.36,-32767
2025-10-26 12:00:00,35.225,-75.625,19.64,-32767
2025-10-26 12:00:00,35.275,-76.175,18.14,-32767
2025-10-26 12:00:00,35.275,-76.125,18.22,-32767
2025-10-26 12:00:00,35.275,-76.075,18.27,-32767
2025-10-26 12:00:00,35.275,-76.025,18.32,-32767
2025-10-26 12:00:00,35.275,-75.975,18.37,-32767
2025-10-26 12:00:00,35.275,-75.925,18.43,-32767
2025-10-26 12:00:00,35.275,-75.875,18.47,-32767
2025-10-26 12:00:00,35.275,-75.825,18.53,-32767
2025-10-26 12:00:00,35.275,-75.775,18.6,-32767
2025-10-26 12:00:00,35.275,-75.725,18.69,-32767
2025-10-26 12:00:00,35.275,-75.675,18.76,-32767
2025-10-26 12:00:00,35.275,-75.625,19.05,-32767
2025-10-26 12:00:00,35.325,-76.175,18.07,-32767
2025-10-26 12:00:00,35.325,-76.125,18.150000000000002,-32767
2025-10-26 12:00:00,35.325,-76.075,18.18,-32767
2025-10-26 12:00:00,35.325,-76.025,18.2,-32767
2025-10-26 12:00:00,35.325,-75.975,18.21,-32767
2025-10-26 12:00:00,35.325,-75.925,18.25,-32767
2025-10-26 12:00:00,35.325,-75.875,18.27,-32767
2025-10-26 12:00:00,35.325,-75.825,18.3,-32767
2025-10-26 12:00:00,35.325,-75.775,18.32,-32767
2025-10-26 12:00:00,35.325,-75.725,18.36,-32767
2025-10-26 12:00:00,35.325,-75.675,18.47,-32767
2025-10-26 12:00:00,35.325,-75.625,18.75,-32767
2025-10-26 12:00:00,35.375,-76.175,,-32767
2025-10-26 12:00:00,35.375,-76.125,,-32767
2025-10-26 12:00:00,35.375,-76.075,18.080000000000002,-32767
2025-10-26 12:00:00,35.375,-76.025,18.1,-32767
2025-10-26 12:00:00,35.375,-75.975,18.12,-32767
2025-10-26 12:00:00,35.375,-75.925,18.150000000000002,-32767
2025-10-26 12:00:00,35.375,-75.875,18.19,-32767
2025-10-26 12:00:00,35.375,-75.825,18.22,-32767
2025-10-26 12:00:00,35.375,-75.775,18.22,-32767
2025-10-26 12:00:00,35.375,-75.725,18.240000000000002,-32767
2025-10-26 12:00:00,35.375,-75.675,18.330000000000002,-32767
2025-10-26 12:00:00,35.375,-75.625,18.6,-32767
