time,lat,lon,analysed_sst,analysis_error,mask,sea_ice_fraction
2025-10-26 12:00:00,35.125,-75.675,294.02,0.14999999,1.0,0.0
2025-10-26 12:00:00,35.125,-75.625,294.19,0.14,1.0,0.0
2025-10-26 12:00:00,35.175,-76.175,291.6,0.26,1.0,0.0
2025-10-26 12:00:00,35.175,-76.125,291.72998,0.26,1.0,0.0
2025-10-26 12:00:00,35.175,-76.075,291.87,0.26,1.0,0.0
2025-10-26 12:00:00,35.175,-76.025,292.07,0.24,1.0,0.0
2025-10-26 12:00:00,35.175,-75.975,292.25998,0.22999999,1.0,0.0
2025-10-26 12:00:00,35.175,-75.925,292.47998,0.21,1.0,0.0
2025-10-26 12:00:00,35.175,-75.875,292.63998,0.21,1.0,0.0
2025-10-26 12:00:00,35.175,-75.825,292.77,0.19,1.0,0.0
2025-10-26 12:00:00,35.175,-75.775,292.94998,0.19,1.0,0.0
2025-10-26 12:00:00,35.175,-75.725,293.13,0.17,1.0,0.0
2025-10-26 12:00:00,35.175,-75.675,293.28998,0.16,1.0,0.0
2025-10-26 12:00:00,35.175,-75.625,293.52,0.14,1.0,0.0
2025-10-26 12:00:00,35.225,-76.175,291.43,0.26,1.0,0.0
2025-10-26 12:00:00,35.225,-76.125,291.50998,0.26,1.0,0.0
2025-10-26 12:00:00,35.225,-76.075,291.6,0.25,1.0,0.0
2025-10-26 12:00:00,35.225,-76.025,291.69998,0.24,1.0,0.0
2025-10-26 12:00:00,35.225,-75.975,291.8,0.24,1.0,0.0
2025-10-26 12:00:00,35.225,-75.925,291.91998,0.22999999,1.0,0.0
2025-10-26 12:00:00,35.225,-75.875,292.02,0.22,1.0,0.0
2025-10-26 12:00:00,35.225,-75.825,292.11,0.22,1.0,0.0
2025-10-26 12:00:00,35.225,-75.775,292.25,0.22,1.0,0.0
2025-10-26 12:00:00,35.225,-75.725,292.38998,0.21,1.0,0.0
2025-10-26 12:00:00,35.225,-75.675,292.50998,0.19999999,1.0,0.0
2025-10-26 12:00:00,35.225,-75.625,292.78998,0.19,1.0,0.0
2025-10-26 12:00:00,35.275,-76.175,291.28998,0.24,1.0,0.0
2025-10-26 12:00:00,35.275,-76.125,291.37,0.24,1.0,0.0
2025-10-26 12:00:00,35.275,-76.075,291.41998,0.24,1.0,0.0
2025-10-26 12:00:00,35.275,-76.025,291.47,0.22999999,1.0,0.0
2025-10-26 12:00:00,35.275,-75.975,291.52,0.22999999,1.0,0.0
2025-10-26 12:00:00,35.275,-75.925,291.58,0.22999999,1.0,0.0
2025-10-26 12:00:00,35.275,-75.875,291.62,0.22999999,1.0,0.0
2025-10-26 12:00:00,35.275,-75.825,291.68,0.22999999,1.0,0.0
2025-10-26 12:00:00,35.275,-75.775,291.75,0.22999999,1.0,0.0
2025-10-26 12:00:00,35.275,-75.725,291.84,0.22999999,1.0,0.0
2025-10-26 12:00:00,35.275,-75.675,291.91,0.22999999,1.0,0.0
2025-10-26 12:00:00,35.275,-75.625,292.19998,0.21,1.0,0.0
2025-10-26 12:00:00,35.325,-76.175,291.22,0.22999999,1.0,0.0
2025-10-26 12:00:00,35.325,-76.125,291.3,0.24,1.0,0.0
2025-10-26 12:00:00,35.325,-76.075,291.33,0.24,1.0,0.0
2025-10-26 12:00:00,35.325,-76.025,291.35,0.22999999,1.0,0.0
2025-10-26 12:00:00,35.325,-75.975,291.36,0.22999999,1.0,0.0
2025-10-26 12:00:00,35.325,-75.925,291.4,0.22999999,1.0,0.0
2025-10-26 12:00:00,35.325,-75.875,291.41998,0.24,1.0,0.0
2025-10-26 12:00:00,35.325,-75.825,291.44998,0.24,1.0,0.0
2025-10-26 12:00:00,35.325,-75.775,291.47,0.25,1.0,0.0
2025-10-26 12:00:00,35.325,-75.725,291.50998,0.24,1.0,0.0
2025-10-26 12:00:00,35.325,-75.675,291.62,0.25,1.0,0.0
2025-10-26 12:00:00,35.325,-75.625,291.9,0.24,1.0,0.0
2025-10-26 12:00:00,35.375,-76.175,,,2.0,0.0
2025-10-26 12:00:00,35.375,-76.125,,,2.0,0.0
2025-10-26 12:00:00,35.375,-76.075,291.22998,0.21,1.0,0.0
2025-10-26 12:00:00,35.375,-76.025,291.25,0.21,1.0,0.0
2025-10-26 12:00:00,35.375,-75.975,291.27,0.21,1.0,0.0
2025-10-26 12:00:00,35.375,-75.925,291.3,0.19999999,1.0,0.0
2025-10-26 12:00:00,35.375,-75.875,291.34,0.22,1.0,0.0
2025-10-26 12:00:00,35.375,-75.825,291.37,0.22,1.0,0.0
2025-10-26 12:00:00,35.375,-75.775,291.37,0.24,1.0,0.0
2025-10-26 12:00:00,35.375,-75.725,291.38998,0.25,1.0,0.0
2025-10-26 12:00:00,35.375,-75.675,291.47998,0.26,1.0,0.0
2025-10-26 12:00:00,35.375,-75.625,291.75,0.25,1.0,0.0
