NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,15.4,14.737976,13.809683,13.828517,14.874798,14.911328,15.300205,15.6,NaN,NaN,NaN,NaN
11.502711,11.356969,11.324224,11.420259,12.444118,13.646692,13.975686,13.896342,13.792987,13.731242,14.061059,14.890841,15.054363,15.337159,15.6,NaN,NaN,NaN
12.059682,11.5018215,11.400741,11.423681,12.149376,12.960059,13.336177,13.477483,13.586291,13.535523,13.548456,13.816036,14.205556,14.608378,15.6,NaN,NaN,NaN
12.121726,11.862246,11.557905,11.6296215,12.058957,12.59863,13.026023,13.257036,13.345397,13.216703,13.075516,12.955516,12.935781,12.698239,13.18261,NaN,NaN,NaN
12.04351,11.857497,11.616408,11.569372,11.752764,12.063499,12.391077,12.614493,12.764912,12.61011,12.331091,11.937328,11.471599,10.622353,10.432791,NaN,NaN,NaN
11.802508,11.705919,11.518902,11.430396,11.441231,11.519811,11.687449,11.82443,11.949702,11.815171,11.45783,10.933993,10.446749,9.951685,9.767063,NaN,NaN,NaN
11.166397,11.172463,11.254642,11.163212,11.05239,10.976425,10.962658,10.940268,10.917004,10.7682705,10.448819,10.082604,9.8571,9.709023,9.444869,9.0,NaN,NaN
10.589946,10.669834,10.77687,10.8038435,10.746266,10.609707,10.490213,10.344213,10.183722,9.998969,9.811941,9.710187,9.67545,9.630207,9.539011,9.264582,NaN,NaN
10.214558,10.252028,10.276328,10.269498,10.257163,10.157864,10.069171,9.91787,9.746914,9.560568,9.398218,9.399274,9.505873,9.50334,9.545651,9.546001,NaN,NaN
9.832661,9.783659,9.722839,9.621013,9.558731,9.532592,9.5259695,9.4537,9.302119,9.118868,9.021476,9.066247,9.187947,9.304147,9.459394,9.0821905,NaN,NaN
9.595576,9.424728,9.263499,9.0949955,8.984986,9.001274,9.0636425,9.07935,8.993754,8.843981,8.789761,8.809692,8.8885565,9.069577,9.181387,8.609817,NaN,NaN
9.36046,9.083049,8.886685,8.763909,8.681147,8.68697,8.7389,8.719087,8.714241,8.681069,8.646356,8.695209,8.828668,8.907894,8.750318,6.8,NaN,NaN
9.169851,8.896265,8.697267,8.577397,8.519113,8.491362,8.467529,8.404375,8.442745,8.532475,8.690824,8.815385,9.2318735,9.341371,9.3810005,NaN,NaN,NaN
9.146492,8.949986,8.781199,8.658029,8.501313,8.322317,8.168354,8.011372,8.002013,8.196545,8.549493,8.793079,9.622147,9.563218,NaN,NaN,NaN,NaN
