NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,0.1176,NaN,NaN,0.0975,0.0987,0.094,NaN,NaN,NaN,NaN,NaN,NaN
0.1643,0.1917,0.2057,0.1936,0.1665,0.1362,0.122,0.1088,0.0966,0.0885,0.0802,0.0716,NaN,NaN,NaN,NaN,NaN
0.1729,0.196,0.2127,0.2078,0.1901,0.1648,0.139,0.1195,0.1044,0.0846,0.072,0.0602,0.0723,NaN,NaN,NaN,NaN
0.1633,0.1807,0.1902,0.1898,0.1821,0.1652,0.1441,0.1255,0.1152,0.0957,0.0829,0.0757,0.0706,NaN,NaN,NaN,NaN
0.155,0.1593,0.1574,0.1577,0.1498,0.1907,0.1759,0.1519,0.1278,0.109,0.0931,0.0761,0.0679,NaN,NaN,NaN,NaN
0.1497,0.1527,0.1583,0.1698,0.1731,0.1659,0.1486,0.1265,0.1063,0.0973,0.0822,0.087,0.0887,NaN,NaN,NaN,NaN
0.1461,0.1506,0.1567,0.1566,0.1684,0.1597,0.1506,0.126,0.1087,0.0913,0.0845,0.0796,0.0807,NaN,NaN,NaN,NaN
0.1394,0.1501,0.1523,0.1674,0.1523,0.1453,0.1395,0.1105,0.0705,0.0685,0.0612,0.0657,0.0738,NaN,NaN,NaN,NaN
0.1253,0.1336,0.1409,0.1537,0.1362,0.1257,0.1153,0.0948,0.0711,0.0422,0.0412,0.0455,0.0517,0.0793,NaN,NaN,NaN
0.1256,0.1314,0.1378,0.1246,0.116,0.1072,0.0983,0.0864,0.067,0.038,0.0413,0.0373,0.0431,0.0617,NaN,NaN,NaN
0.1324,0.1251,0.1128,0.1034,0.0952,0.1008,0.0966,0.0877,0.0756,0.0643,0.0617,0.0414,0.0583,NaN,NaN,NaN,NaN
0.1138,0.1229,0.0992,0.0913,0.0967,0.0983,0.1003,0.0896,0.0851,0.093,0.0993,0.0565,0.0613,NaN,NaN,NaN,NaN
0.108,0.1243,0.1038,0.0962,0.1,0.0896,0.0931,0.0843,0.0978,0.1134,0.1324,0.077,0.106,NaN,NaN,NaN,NaN
